Data;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31
01/11/2014;0;5,5;0;0;43,4;0;10;14,8;0;0;0;0;0;6,5;11,6;0;0;0;0;0;7,2;1,4;14,4;0;0;13,6;0;0;0;0;
01/10/2014;0;10,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;4,8;0;0,7;0;0;0;3,1;0;0;0;0;0
01/09/2014;0;0;25,3;0;1;0;0,3;0;0;0;0;0;0;0;0;0;0;0;12;43,6;0;0;0;0;19,8;0;13,8;0;17,7;3,7;
01/08/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;32,3;0;0;0;0;0;0;0;0;0;0;0;0;23,5
01/07/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;12;0;0;0;0;0;0
01/06/2014;37,1;0;0;0;0;19,6;52,6;9,8;2;0;0;0;0;0;0;0;0;0;14,5;0;0;0;0;0;0;0;0;0;0;0;
01/05/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,5;31,2;0;16,1;0;0;0;0;0
01/04/2014;2,1;0;2,3;2,7;0;0;0;6,1;0;2,5;0;0;0;4,5;1;0,8;0;0;0;0;0;6,7;0;2;0;1,5;0;0;2,5;0;
01/03/2014;23,1;0;0;0;22,1;0;0;0;0;0;0;41,3;5,6;13,3;1,2;0;7,9;2;0;0;0;20,7;0;0;0;0;0;0;0;0;16,9
01/02/2014;0;0;0;0;0,2;0;0;0;0;0;0;0;0;14,2;12,1;0;5,7;4,9;9,7;0;0;0;0;2;0;21,5;0;30;;;
01/01/2014;4,3;0;0;0;0;5,4;0;0;0,8;0;0;0;36,8;0,8;0;0;26,1;0;0;0;0;0;17,3;15;0;0,3;0;0;0;0;0
01/12/2013;0;0;0;0;0;14,5;0;10,8;0;0;0;0,3;0;0;0;1,4;0;0;0;0;0;0;0;0;0;0;0;0;3,2;4,8;0
01/11/2013;0;0;0;14,8;0,2;0;0;1,4;0;0;0;0;0;0;0;0;51,4;0;0;0;4,4;0;22,6;0;2;9,8;2,7;0;20,6;0;
01/10/2013;18,9;8,3;14,2;23,1;0;0;0;0;0;0;0;0;0;0;0;0;13,5;0;0;0;0;2,5;0;0;8,9;0;5,2;0;0;0;0
01/09/2013;0;0;0;13;1,3;0;0;0;0;0;0;0;0;0;0;0;16,1;29,7;0;1,5;0;25,9;25,9;3,9;4,1;0;0;0;14,2;0;
01/08/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;3,7;3;0;0;0;0;0;0;0;0;0;0;0;2,6;0;0;0;0
01/07/2013;23,6;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,1;15,2;17,9;0;0;5;0;0;0;0;0;0
01/06/2013;0;27,1;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;21,7;0;0;3,2;17,3;14,9;0;0;99,4;18,7;4,5;0;0;6,7;
01/05/2013;0;0;0;0;0;7,5;0;0;0;0;0;0;0;0;0;2;10;0,2;0;0;0;0;17,3;0;0,1;0;0;3,7;24,8;13,2;0
01/04/2013;0;0;5,7;0;25,5;0,2;0;1,2;1,4;0;0;0;14,7;0,2;11,5;0;0;0;0;0;0;0;0;1,6;0;0;0;0;0;0;
01/03/2013;0;0;0;0;0;2,1;15,7;1,9;0;0;6,3;22;19,2;0,5;1,1;0;1;0,1;0,3;0,8;8,4;3,6;0;2,3;0,5;0;0;12,4;0;6,4;0
