EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2448035;1;01/03/2017;1;23,4;141,9;25;13;1;1;1;;0;0;9,1;0;0;0;13,5;0,6;0;0;0;0;1,2;0;0;0;0;19,7;0;7,5;23,1;15,4;1,5;0;0;23,4;0;0;12,5;0,3;14,1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/02/2017;1;38,2;155,9;1;11;1;1;1;;0;38,2;36,2;0;9,7;0;0;0,9;0;0;0;0;1,5;9,3;4,3;0;0;0;32,4;0;0;0;0;12,8;2,4;8,2;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;;
2448035;1;01/01/2017;1;49,9;204,4;17;15;1;1;1;;0;0;0;0;0;0;29,2;0;14,4;0,2;42,3;1,2;0;0;0;0;0;49,9;0,5;4,3;1,6;0;0;0;0;12,2;0,9;0;12,6;23,3;3,8;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/12/2015;1;55,5;234,9;28;15;1;1;1;;0;11,2;0;27,2;0;0;0;1,5;21;0;0;26;0;0;0;0;0;0;0;6,7;2,6;29,7;0;0;3,6;2,8;14,7;29,3;55,5;1,3;1,8;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/11/2015;1;36,1;165,8;21;14;1;1;1;;0;0;0;2;0,4;16,4;24,6;0;0;0;0;2,4;11;0;7,3;1,2;19,2;0;0;9,3;32,3;36,1;0;0;0;0;0;0;1,2;0;2,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2448035;1;01/10/2015;1;61,5;216,7;9;9;1;1;1;;0;0;0;24,4;0;0;0;0;0;61,5;3,5;0,2;12,7;0;0;0;0;0;0;0;0;37,9;39,8;2,6;0;0;0;0;0;0;0;34,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/09/2015;1;71,5;165,3;8;7;1;1;1;;0;0;0;1,2;14,7;0;0;0;71,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,2;33,8;0;31,9;0;4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2448035;1;01/08/2015;1;23,1;23,1;27;1;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/07/2015;1;37,6;98,6;11;8;1;1;1;;0;0;0;0;0;0;0;20,4;0;0;0;37,6;2,7;0;10,6;0;0;4,3;0;0;0;4;0;0;9,9;9,1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/06/2015;1;20,6;53,9;15;5;1;1;1;;0;1,6;0;0;0;0;0;0;0;0;0;0;13,4;3,9;0;20,6;0;0;0;14,4;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
